XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
09/26/2025 00:00,3744.71,3749.19,3741.87,3746.68,197,0.05,
09/25/2025 23:45,3741.67,3745.68,3741.67,3744.73,306,0.08,
09/25/2025 23:30,3743.01,3743.07,3739.67,3741.57,-144,-0.04,
09/25/2025 23:15,3745.52,3745.74,3738.09,3742.99,-253,-0.07,
09/25/2025 23:00,3748.81,3749.93,3745.47,3745.56,-325,-0.09,
09/25/2025 22:45,3749.65,3751.43,3748.56,3748.75,-90,-0.02,
09/25/2025 22:30,3749.4,3751.04,3748.21,3749.43,3,0.00,
09/25/2025 22:15,3746.64,3749.57,3746.63,3749.41,277,0.07,
09/25/2025 22:00,3748.66,3749.25,3746.28,3746.58,-208,-0.06,
09/25/2025 20:45,3750.7,3752.6,3749.29,3749.41,-129,-0.03,
09/25/2025 20:30,3748.81,3751,3748.81,3750.68,187,0.05,
09/25/2025 20:15,3749.44,3750.44,3748.17,3748.79,-65,-0.02,
09/25/2025 20:00,3746.75,3749.6,3746.17,3749.37,262,0.07,
09/25/2025 19:45,3747.41,3750.8,3745.88,3746.75,-66,-0.02,
09/25/2025 19:30,3751.77,3752.47,3744.63,3747.3,-447,-0.12,
09/25/2025 19:15,3755.28,3755.96,3750.87,3751.7,-358,-0.10,
09/25/2025 19:00,3755.34,3756.75,3751.55,3755.2,-14,0.00,
09/25/2025 18:45,3755.36,3758.26,3753.21,3755.28,-8,0.00,
09/25/2025 18:30,3750.03,3757.47,3748.92,3755.34,531,0.14,
09/25/2025 18:15,3739.31,3750.74,3737.93,3750.13,1082,0.29,
09/25/2025 18:00,3741.75,3745.23,3736.74,3739.38,-237,-0.06,
09/25/2025 17:45,3740.4,3744.21,3739.21,3741.71,131,0.04,
09/25/2025 17:30,3739.85,3742.11,3738.37,3740.36,51,0.01,
09/25/2025 17:15,3740.59,3743.12,3737.21,3740.09,-50,-0.01,
09/25/2025 17:00,3733.74,3740.89,3732.15,3740.65,691,0.18,
09/25/2025 16:45,3735.2,3735.54,3732.65,3733.76,-144,-0.04,
09/25/2025 16:30,3737.72,3738.18,3734.37,3735.2,-252,-0.07,
09/25/2025 16:15,3742.28,3742.6,3735.25,3737.71,-457,-0.12,
09/25/2025 16:00,3736.12,3742.71,3735.22,3742.31,619,0.17,
09/25/2025 15:45,3735.98,3735.98,3733.05,3735.95,-3,0.00,
09/25/2025 15:30,3730.57,3736.58,3729.19,3735.86,529,0.14,
09/25/2025 15:15,3734.92,3738.84,3730.46,3730.57,-435,-0.12,
09/25/2025 15:00,3731.49,3735.49,3728.08,3734.83,334,0.09,
09/25/2025 14:45,3727.5,3733.33,3723.61,3731.64,414,0.11,
09/25/2025 14:30,3733.6,3733.88,3724,3727.49,-611,-0.16,
09/25/2025 14:15,3729.71,3736.36,3725.84,3733.72,401,0.11,
09/25/2025 14:00,3733.72,3734.77,3724.72,3729.9,-382,-0.10,
09/25/2025 13:45,3726.27,3733.96,3722.21,3733.65,738,0.20,
09/25/2025 13:30,3741.35,3742.74,3724.68,3726.3,-1505,-0.40,
09/25/2025 13:15,3736.99,3745.66,3735.31,3741.35,436,0.12,
09/25/2025 13:00,3738.65,3741.16,3733.12,3735.43,-322,-0.09,
09/25/2025 12:45,3741.62,3742.54,3730.61,3734.9,-672,-0.18,
09/25/2025 12:30,3754.38,3754.38,3735.36,3738.88,-1550,-0.41,
09/25/2025 12:15,3752.22,3755.86,3751.76,3754.12,190,0.05,
09/25/2025 12:00,3752.93,3753.89,3749.62,3752.44,-49,-0.01,
09/25/2025 11:45,3751.22,3754.14,3750.14,3752.94,172,0.05,
09/25/2025 11:30,3749.75,3752.24,3748.91,3751.13,138,0.04,
09/25/2025 11:15,3743.66,3750.51,3743.25,3749.75,609,0.16,
09/25/2025 11:00,3757.09,3757.62,3741.27,3743.67,-1342,-0.36,
09/25/2025 10:45,3757.12,3760.8,3755.68,3757.11,-1,0.00,
09/25/2025 10:30,3757.06,3758.21,3755.65,3757.11,5,0.00,
09/25/2025 10:15,3756.52,3758.94,3755.77,3757.02,50,0.01,
09/25/2025 10:00,3757.09,3758.31,3755.86,3756.58,-51,-0.01,
09/25/2025 09:45,3756.18,3761.01,3755.25,3757.06,88,0.02,
09/25/2025 09:30,3750.64,3756.23,3750.47,3755.99,535,0.14,
09/25/2025 09:15,3756.75,3756.98,3750.26,3750.36,-639,-0.17,
09/25/2025 09:00,3756.46,3757.26,3753.99,3756.81,35,0.01,
