XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
08/26/2025 00:00,3354.85,3386.32,3351.42,3383.03,2818,0.83,
08/25/2025 23:00,3364.33,3364.34,3351.76,3354.88,-945,-0.28,
08/25/2025 22:00,3365.83,3367.18,3363.62,3364.34,-149,-0.04,
08/25/2025 20:00,3365.53,3366.07,3364.18,3365.53,0,0.00,
08/25/2025 19:00,3370.58,3370.79,3365.24,3365.48,-510,-0.15,
08/25/2025 18:00,3371.16,3373.24,3369.71,3370.48,-68,-0.02,
08/25/2025 17:00,3373.91,3374.9,3370.86,3371.21,-270,-0.08,
08/25/2025 16:00,3374.13,3374.3,3371.63,3373.97,-16,0.00,
08/25/2025 15:00,3374.41,3376.13,3371.87,3374.13,-28,-0.01,
08/25/2025 14:00,3370.81,3375.38,3369.35,3374.35,354,0.10,
08/25/2025 13:00,3364.56,3371.23,3362.12,3370.8,624,0.19,
08/25/2025 12:00,3370.53,3371.15,3364.23,3364.58,-595,-0.18,
08/25/2025 11:00,3366.07,3371.52,3365.71,3370.51,444,0.13,
08/25/2025 10:00,3367.44,3368.55,3365.08,3366.1,-134,-0.04,
08/25/2025 09:00,3364.0,3367.83,3361.98,3367.42,342,0.10,
08/25/2025 08:00,3366.24,3366.82,3363.38,3363.99,-225,-0.07,
08/25/2025 07:00,3368.92,3369.72,3366.08,3366.18,-274,-0.08,
08/25/2025 06:00,3364.68,3369.54,3364.55,3368.93,425,0.13,
08/25/2025 05:00,3366.04,3366.09,3363.14,3364.75,-129,-0.04,
08/25/2025 04:00,3367.34,3367.66,3363.85,3366.06,-128,-0.04,
08/25/2025 03:00,3364.49,3368.1,3364.23,3367.33,284,0.08,
08/25/2025 02:00,3362.81,3365.2,3359.51,3364.48,167,0.05,
08/25/2025 01:00,3364.86,3367.75,3360.74,3362.91,-195,-0.06,
08/25/2025 00:00,3369.19,3369.59,3363.34,3364.8,-439,-0.13,
08/24/2025 23:00,3367.22,3370.95,3366.37,3369.18,196,0.06,
08/24/2025 22:00,3371.25,3371.28,3365.98,3367.09,-416,-0.12,
08/22/2025 20:00,3373.25,3373.51,3370.13,3371.92,-133,-0.04,
08/22/2025 19:00,3372.8,3373.56,3368.89,3373.25,45,0.01,
08/22/2025 18:00,3374.24,3375.0,3370.92,3372.81,-143,-0.04,
08/22/2025 17:00,3370.51,3375.49,3370.38,3374.28,377,0.11,
08/22/2025 16:00,3367.95,3374.22,3367.95,3370.56,261,0.08,
08/22/2025 15:00,3373.85,3378.83,3367.43,3368.01,-584,-0.17,
08/22/2025 14:00,3333.66,3373.95,3333.66,3373.92,4026,1.19,
08/22/2025 13:00,3323.52,3335.54,3323.39,3333.61,1009,0.30,
08/22/2025 12:00,3329.28,3329.9,3321.31,3323.41,-587,-0.18,
08/22/2025 11:00,3330.93,3331.13,3327.81,3329.3,-163,-0.05,
08/22/2025 10:00,3330.18,3331.71,3328.94,3330.92,74,0.02,
08/22/2025 09:00,3328.87,3331.62,3328.21,3330.2,133,0.04,
08/22/2025 08:00,3327.42,3330.54,3325.11,3328.88,146,0.04,
08/22/2025 07:00,3329.37,3334.96,3325.86,3327.4,-197,-0.06,
08/22/2025 06:00,3330.11,3330.48,3325.77,3329.45,-66,-0.02,
08/22/2025 05:00,3328.46,3331.31,3326.92,3330.07,161,0.05,
08/22/2025 04:00,3332.06,3332.67,3327.9,3328.4,-366,-0.11,
08/22/2025 03:00,3334.09,3335.3,3331.56,3331.99,-210,-0.06,
08/22/2025 02:00,3334.22,3336.21,3332.87,3334.15,-7,0.00,
08/22/2025 01:00,3339.61,3340.21,3333.53,3334.15,-546,-0.16,
08/22/2025 00:00,3338.45,3339.85,3335.02,3339.52,107,0.03,
08/21/2025 23:00,3338.86,3339.61,3337.34,3338.45,-41,-0.01,
08/21/2025 22:00,3339.07,3340.67,3338.39,3338.89,-18,-0.01,
08/21/2025 20:00,3338.91,3339.14,3337.87,3338.52,-39,-0.01,
08/21/2025 19:00,3339.34,3341.98,3338.04,3338.79,-55,-0.02,
08/21/2025 18:00,3337.11,3339.59,3336.49,3339.36,225,0.07,
08/21/2025 17:00,3339.69,3342.04,3336.94,3336.98,-271,-0.08,
08/21/2025 16:00,3343.68,3343.94,3338.21,3339.78,-390,-0.12,
08/21/2025 15:00,3344.24,3345.96,3337.61,3343.67,-57,-0.02,
08/21/2025 14:00,3339.43,3348.1,3338.09,3344.19,476,0.14,
08/21/2025 13:00,3341.79,3347.44,3335.87,3339.37,-242,-0.07,
08/21/2025 12:00,3333.57,3344.98,3333.57,3341.82,825,0.25,
08/21/2025 11:00,3328.57,3334.35,3325.4,3333.66,509,0.15,
08/21/2025 10:00,3340.83,3341.58,3327.54,3328.44,-1239,-0.37,
08/21/2025 09:00,3339.58,3342.18,3338.01,3340.74,116,0.03,
08/21/2025 08:00,3339.64,3341.43,3337.66,3339.66,2,0.00,
08/21/2025 07:00,3336.61,3341.47,3335.38,3339.55,294,0.09,
08/21/2025 06:00,3338.85,3339.81,3334.33,3336.59,-226,-0.07,
08/21/2025 05:00,3338.38,3340.71,3336.81,3338.88,50,0.01,
08/21/2025 04:00,3339.88,3341.07,3337.82,3338.35,-153,-0.05,
08/21/2025 03:00,3344.47,3344.86,3339.73,3339.8,-467,-0.14,
08/21/2025 02:00,3342.88,3344.95,3340.39,3344.46,158,0.05,
08/21/2025 01:00,3342.31,3346.43,3340.72,3342.88,57,0.02,
08/21/2025 00:00,3346.88,3346.88,3341.47,3342.24,-464,-0.14,
08/20/2025 23:00,3349.62,3349.67,3346.31,3346.9,-272,-0.08,
08/20/2025 22:00,3350.09,3352.26,3348.66,3349.77,-32,-0.01,
08/20/2025 20:00,3348.82,3349.32,3347.43,3348.18,-64,-0.02,
08/20/2025 19:00,3345.69,3349.31,3345.13,3348.72,303,0.09,
08/20/2025 18:00,3346.77,3347.09,3343.89,3345.69,-108,-0.03,
08/20/2025 17:00,3345.15,3348.13,3344.04,3346.63,148,0.04,
08/20/2025 16:00,3340.64,3346.07,3340.64,3345.14,450,0.13,
08/20/2025 15:00,3346.89,3346.98,3338.83,3340.61,-628,-0.19,
08/20/2025 14:00,3344.99,3350.12,3339.97,3346.96,197,0.06,
08/20/2025 13:00,3342.87,3348.06,3338.79,3344.94,207,0.06,
08/20/2025 12:00,3332.25,3344.66,3332.05,3342.99,1074,0.32,
08/20/2025 11:00,3326.52,3332.93,3325.75,3332.26,574,0.17,
08/20/2025 10:00,3326.17,3327.91,3323.83,3326.78,61,0.02,
08/20/2025 09:00,3324.83,3327.38,3323.58,3326.18,135,0.04,
08/20/2025 08:00,3324.71,3325.74,3320.91,3324.81,10,0.00,
08/20/2025 07:00,3323.12,3327.5,3321.67,3324.7,158,0.05,
08/20/2025 06:00,3323.31,3325.97,3322.21,3323.21,-10,0.00,
08/20/2025 05:00,3318.72,3323.6,3318.1,3323.31,459,0.14,
08/20/2025 04:00,3317.64,3320.99,3317.14,3318.73,109,0.03,
08/20/2025 03:00,3314.13,3318.52,3313.99,3317.64,351,0.11,
08/20/2025 02:00,3315.29,3317.04,3312.32,3314.12,-117,-0.04,
08/20/2025 01:00,3316.08,3317.79,3311.5,3315.33,-75,-0.02,
08/20/2025 00:00,3314.13,3316.91,3312.92,3315.97,184,0.06,
08/19/2025 23:00,3316.72,3316.9,3312.74,3314.3,-242,-0.07,
08/19/2025 22:00,3316.5,3317.61,3315.71,3316.7,20,0.01,
08/19/2025 20:00,3315.78,3317.44,3314.85,3315.58,-20,-0.01,
08/19/2025 19:00,3318.45,3318.89,3315.52,3315.77,-268,-0.08,
08/19/2025 18:00,3317.43,3320.06,3316.8,3318.48,105,0.03,
08/19/2025 17:00,3317.51,3319.79,3315.02,3317.49,-2,0.00,
08/19/2025 16:00,3322.62,3324.43,3316.78,3317.5,-512,-0.15,
08/19/2025 15:00,3325.54,3326.69,3321.59,3322.61,-293,-0.09,
08/19/2025 14:00,3333.98,3336.92,3320.97,3325.08,-890,-0.27,
08/19/2025 13:00,3334.77,3339.21,3325.96,3333.99,-78,-0.02,
08/19/2025 12:00,3339.59,3340.62,3334.27,3334.85,-474,-0.14,
08/19/2025 11:00,3343.5,3344.75,3339.14,3339.8,-370,-0.11,
08/19/2025 10:00,3339.29,3345.19,3339.13,3343.52,423,0.13,
08/19/2025 09:00,3337.95,3339.71,3336.87,3339.27,132,0.04,
08/19/2025 08:00,3340.69,3340.89,3336.53,3338.03,-266,-0.08,
08/19/2025 07:00,3335.9,3341.7,3334.97,3340.76,486,0.15,
08/19/2025 06:00,3336.0,3338.79,3334.43,3336.05,5,0.00,
08/19/2025 05:00,3337.53,3340.67,3335.78,3336.15,-138,-0.04,
08/19/2025 04:00,3337.71,3338.2,3334.38,3337.67,-4,0.00,
08/19/2025 03:00,3338.09,3341.61,3336.97,3337.71,-38,-0.01,
08/19/2025 02:00,3332.86,3338.12,3329.28,3337.88,502,0.15,
08/19/2025 01:00,3335.13,3335.71,3330.12,3332.88,-225,-0.07,
08/19/2025 00:00,3330.98,3338.89,3325.94,3335.13,415,0.12,
08/18/2025 23:00,3334.47,3334.73,3330.44,3330.96,-351,-0.11,
08/18/2025 22:00,3333.77,3334.72,3332.78,3334.48,71,0.02,
08/18/2025 21:00,3332.68,3332.7,3332.68,3332.7,2,0.00,
08/18/2025 20:00,3333.49,3334.31,3332.56,3332.88,-61,-0.02,
08/18/2025 19:00,3332.15,3334.21,3330.18,3333.54,139,0.04,
08/18/2025 18:00,3333.57,3333.83,3331.33,3332.02,-155,-0.05,
08/18/2025 17:00,3334.27,3334.83,3331.59,3333.59,-68,-0.02,
08/18/2025 16:00,3335.57,3335.63,3331.63,3334.24,-133,-0.04,
08/18/2025 15:00,3334.38,3336.8,3332.33,3335.69,131,0.04,
08/18/2025 14:00,3336.75,3338.77,3332.22,3334.31,-244,-0.07,
08/18/2025 13:00,3344.77,3344.89,3335.81,3336.56,-821,-0.25,
08/18/2025 12:00,3345.52,3348.78,3343.04,3344.66,-86,-0.03,
08/18/2025 11:00,3346.58,3348.8,3344.38,3345.4,-118,-0.04,
08/18/2025 10:00,3348.13,3351.3,3346.51,3346.68,-145,-0.04,
08/18/2025 09:00,3348.62,3351.69,3347.33,3348.17,-45,-0.01,
08/18/2025 08:00,3348.88,3349.9,3344.45,3348.55,-33,-0.01,
08/18/2025 07:00,3349.54,3355.61,3347.2,3348.98,-56,-0.02,
08/18/2025 06:00,3349.31,3351.18,3345.96,3349.46,15,0.00,
08/18/2025 05:00,3357.38,3358.45,3346.52,3349.39,-799,-0.24,
08/18/2025 04:00,3347.09,3358.07,3346.82,3357.42,1033,0.31,
08/18/2025 03:00,3343.36,3351.62,3343.22,3347.13,377,0.11,
08/18/2025 02:00,3346.79,3347.58,3342.31,3343.4,-339,-0.10,
08/18/2025 01:00,3340.47,3347.44,3339.53,3346.76,629,0.19,
08/18/2025 00:00,3327.22,3342.7,3326.81,3340.59,1337,0.40,
08/17/2025 23:00,3334.3,3334.46,3323.5,3327.12,-718,-0.22,
08/17/2025 22:00,3336.49,3336.67,3332.68,3334.28,-221,-0.07,
08/15/2025 20:00,3339.04,3339.42,3335.5299999999997,3335.9,-314,-0.09,
08/15/2025 19:00,3336.05,3339.58,3334.2,3339.07,302,0.09,
08/15/2025 18:00,3336.13,3338.25,3333.4,3336.04,-9,0.00,
08/15/2025 17:00,3338.07,3338.96,3335.12,3336.05,-202,-0.06,
08/15/2025 16:00,3342.28,3342.46,3335.86,3338.07,-421,-0.13,
08/15/2025 15:00,3341.76,3344.96,3340.9,3342.25,49,0.01,
08/15/2025 14:00,3335.51,3343.53,3335.07,3341.7,619,0.19,
08/15/2025 13:00,3342.76,3345.93,3332.81,3335.71,-705,-0.21,
08/15/2025 12:00,3342.31,3343.79,3333.92,3342.64,33,0.01,
08/15/2025 11:00,3337.67,3344.02,3337.04,3342.29,462,0.14,
08/15/2025 10:00,3342.81,3342.81,3336.56,3337.67,-514,-0.15,
08/15/2025 09:00,3341.32,3344.93,3338.36,3342.72,140,0.04,
08/15/2025 08:00,3346.21,3348.15,3338.45,3341.22,-499,-0.15,
08/15/2025 07:00,3340.6,3346.48,3340.08,3346.26,566,0.17,
08/15/2025 06:00,3343.75,3343.99,3340.19,3340.36,-339,-0.10,
08/15/2025 05:00,3345.34,3348.76,3341.81,3343.72,-162,-0.05,
08/15/2025 04:00,3343.44,3346.71,3343.19,3345.38,194,0.06,
08/15/2025 03:00,3340.46,3344.89,3340.02,3343.49,303,0.09,
08/15/2025 02:00,3339.48,3340.91,3336.63,3340.37,89,0.03,
08/15/2025 01:00,3337.24,3340.32,3333.47,3339.48,224,0.07,
08/15/2025 00:00,3335.69,3338.79,3332.43,3337.16,147,0.04,
08/14/2025 23:00,3333.46,3336.67,3331.7,3335.64,218,0.07,
08/14/2025 22:00,3337.02,3337.8,3332.1,3333.28,-374,-0.11,
08/14/2025 21:00,3335.2,3335.2,3335.2,3335.2,0,0.00,
08/14/2025 20:00,3338.11,3338.57,3334.46,3335.38,-273,-0.08,
08/14/2025 19:00,3338.14,3341.06,3337.86,3338.04,-10,0.00,
08/14/2025 18:00,3337.7,3339.28,3336.01,3338.14,44,0.01,
08/14/2025 17:00,3334.49,3338.52,3331.66,3337.55,306,0.09,
08/14/2025 16:00,3341.68,3342.12,3329.8,3334.5,-718,-0.22,
08/14/2025 15:00,3340.56,3342.89,3335.41,3341.68,112,0.03,
08/14/2025 14:00,3343.93,3346.55,3334.44,3340.51,-342,-0.10,
08/14/2025 13:00,3351.17,3355.55,3343.73,3344.55,-662,-0.20,
08/14/2025 12:00,3355.59,3358.52,3341.93,3351.32,-427,-0.13,
08/14/2025 11:00,3355.14,3357.22,3352.41,3355.39,25,0.01,
08/14/2025 10:00,3356.37,3359.16,3352.0,3355.04,-133,-0.04,
08/14/2025 09:00,3346.3,3359.15,3345.05,3356.42,1012,0.30,
08/14/2025 08:00,3345.89,3350.48,3341.63,3346.2,31,0.01,
08/14/2025 07:00,3361.94,3366.29,3343.46,3345.95,-1599,-0.48,
08/14/2025 06:00,3358.94,3362.48,3355.78,3362.0,306,0.09,
08/14/2025 05:00,3360.6,3361.97,3356.08,3359.02,-158,-0.05,
08/14/2025 04:00,3360.54,3361.86,3358.49,3360.45,-9,0.00,
08/14/2025 03:00,3362.97,3364.02,3355.69,3360.35,-262,-0.08,
08/14/2025 02:00,3367.38,3369.35,3362.91,3363.0,-438,-0.13,
08/14/2025 01:00,3369.58,3370.97,3365.2,3367.36,-222,-0.07,
08/14/2025 00:00,3362.91,3374.76,3362.88,3369.72,681,0.20,
08/13/2025 23:00,3357.61,3363.51,3357.61,3362.72,511,0.15,
08/13/2025 22:00,3357.18,3359.02,3356.64,3357.68,50,0.01,
08/13/2025 20:00,3357.8,3358.07,3355.47,3356.02,-178,-0.05,
08/13/2025 19:00,3353.84,3358.76,3352.62,3357.79,395,0.12,
08/13/2025 18:00,3353.58,3354.51,3349.85,3353.93,35,0.01,
08/13/2025 17:00,3357.93,3359.32,3352.73,3353.59,-434,-0.13,
08/13/2025 16:00,3357.96,3360.95,3356.91,3357.93,-3,0.00,
08/13/2025 15:00,3363.28,3363.65,3354.48,3357.87,-541,-0.16,
08/13/2025 14:00,3364.99,3370.51,3361.07,3363.23,-176,-0.05,
08/13/2025 13:00,3357.93,3365.89,3353.95,3364.92,699,0.21,
08/13/2025 12:00,3362.39,3363.59,3355.37,3358.08,-431,-0.13,
08/13/2025 11:00,3366.24,3366.89,3358.86,3362.34,-390,-0.12,
08/13/2025 10:00,3364.56,3366.91,3363.29,3366.03,147,0.04,
08/13/2025 09:00,3360.31,3366.59,3358.74,3364.41,410,0.12,
08/13/2025 08:00,3354.4,3363.49,3352.59,3360.33,593,0.18,
08/13/2025 07:00,3357.03,3361.03,3353.8,3354.64,-239,-0.07,
08/13/2025 06:00,3349.23,3357.56,3348.74,3357.01,778,0.23,
08/13/2025 05:00,3350.3,3352.13,3345.67,3349.19,-111,-0.03,
08/13/2025 04:00,3349.71,3352.16,3348.3,3351.65,194,0.06,
08/13/2025 03:00,3351.69,3353.0,3348.5,3349.71,-198,-0.06,
08/13/2025 02:00,3351.02,3354.26,3346.8,3351.71,69,0.02,
08/13/2025 01:00,3343.76,3351.96,3342.83,3350.96,720,0.21,
08/13/2025 00:00,3350.47,3350.79,3342.68,3343.55,-692,-0.21,
08/12/2025 23:00,3350.6,3352.12,3349.5,3350.49,-11,0.00,
08/12/2025 22:00,3349.76,3353.76,3347.96,3350.57,81,0.02,
08/12/2025 21:00,3347.96,3347.96,3347.86,3347.86,-10,0.00,
08/12/2025 20:00,3347.53,3350.09,3345.95,3348.2,67,0.02,
08/12/2025 19:00,3348.93,3349.38,3345.55,3347.49,-144,-0.04,
08/12/2025 18:00,3348.89,3350.76,3347.54,3348.96,7,0.00,
08/12/2025 17:00,3349.39,3350.67,3346.35,3348.88,-51,-0.02,
08/12/2025 16:00,3349.83,3351.32,3345.72,3349.57,-26,-0.01,
08/12/2025 15:00,3337.5,3357.99,3336.91,3349.86,1236,0.37,
08/12/2025 14:00,3346.07,3346.07,3330.81,3337.55,-852,-0.26,
08/12/2025 13:00,3350.0,3356.86,3339.84,3345.65,-435,-0.13,
08/12/2025 12:00,3347.66,3357.79,3338.6099999999997,3350.0,234,0.07,
08/12/2025 11:00,3344.88,3348.38,3335.9,3347.39,251,0.07,
08/12/2025 10:00,3345.6,3350.49,3344.19,3344.76,-84,-0.03,
08/12/2025 09:00,3348.12,3351.95,3344.35,3345.66,-246,-0.07,
08/12/2025 08:00,3355.71,3355.71,3345.67,3348.03,-768,-0.23,
08/12/2025 07:00,3345.48,3357.95,3343.66,3355.73,1025,0.31,
