XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
09/26/2025 00:00,3744.71,3749.19,3744.71,3747.11,240,0.06,
09/25/2025 23:55,3744.99,3745.6,3744.19,3744.73,-26,-0.01,
09/25/2025 23:50,3744.61,3745.68,3743.89,3745.02,41,0.01,
09/25/2025 23:45,3741.67,3744.86,3741.67,3744.59,292,0.08,
09/25/2025 23:40,3740.05,3741.77,3739.77,3741.57,152,0.04,
09/25/2025 23:35,3742.21,3742.35,3739.67,3740.03,-218,-0.06,
09/25/2025 23:30,3743.01,3743.07,3740.24,3742.2,-81,-0.02,
09/25/2025 23:25,3740.11,3743.62,3739.99,3742.99,288,0.08,
09/25/2025 23:20,3738.53,3741.3,3738.39,3740.05,152,0.04,
09/25/2025 23:15,3745.52,3745.74,3738.09,3738.22,-730,-0.20,
09/25/2025 23:10,3748.96,3748.96,3745.47,3745.56,-340,-0.09,
09/25/2025 23:05,3749.57,3749.57,3748.1,3749,-57,-0.02,
09/25/2025 23:00,3748.81,3749.93,3748.68,3749.55,74,0.02,
09/25/2025 22:55,3750.1,3750.29,3748.56,3748.75,-135,-0.04,
09/25/2025 22:50,3750.11,3751.43,3749.23,3750.05,-6,0.00,
09/25/2025 22:45,3749.65,3750.58,3748.7,3750.07,42,0.01,
09/25/2025 22:40,3749.83,3750.96,3748.24,3749.43,-40,-0.01,
09/25/2025 22:35,3748.22,3749.84,3748.21,3749.71,149,0.04,
09/25/2025 22:30,3749.4,3751.04,3748.21,3748.22,-118,-0.03,
09/25/2025 22:25,3747.92,3749.57,3747.73,3749.41,149,0.04,
09/25/2025 22:20,3748.15,3748.77,3747.87,3747.91,-24,-0.01,
09/25/2025 22:15,3746.64,3748.26,3746.63,3748.19,155,0.04,
09/25/2025 22:10,3746.71,3746.91,3746.32,3746.58,-13,0.00,
09/25/2025 22:05,3747.06,3747.98,3746.28,3746.8,-26,-0.01,
09/25/2025 22:00,3748.66,3749.25,3747.06,3747.17,-149,-0.04,
09/25/2025 20:55,3751.43,3751.43,3749.29,3749.41,-202,-0.05,
09/25/2025 20:50,3752.21,3752.21,3750.53,3751.42,-79,-0.02,
09/25/2025 20:45,3750.7,3752.6,3750.62,3752.16,146,0.04,
09/25/2025 20:40,3750.49,3751,3749.96,3750.68,19,0.01,
09/25/2025 20:35,3749.72,3750.68,3749.51,3750.52,80,0.02,
09/25/2025 20:30,3748.81,3750.03,3748.81,3749.82,101,0.03,
09/25/2025 20:25,3748.94,3749.71,3748.58,3748.79,-15,0.00,
09/25/2025 20:20,3749.48,3750.06,3748.17,3748.94,-54,-0.01,
09/25/2025 20:15,3749.44,3750.44,3749.08,3749.41,-3,0.00,
09/25/2025 20:10,3747.97,3749.59,3747.91,3749.37,140,0.04,
09/25/2025 20:05,3749.42,3749.6,3747.92,3747.95,-147,-0.04,
09/25/2025 20:00,3746.75,3749.6,3746.17,3749.54,279,0.07,
09/25/2025 19:55,3747.37,3747.59,3745.88,3746.75,-62,-0.02,
09/25/2025 19:50,3749.04,3749.24,3745.98,3747.6,-144,-0.04,
